Type,Section,W,A,d,bf,tw,tf,kdes,k,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw
W,W36X170,170.0,50.0,36.2,12,0.68,1.1,1.85,1.5625,10500.0,668.0,581.0,14.5,320.0,83.8,53.2,2.53,15.1,98500
W,W36X160,160.0,47.0,36,12,0.65,1.02,1.77,1.5625,9760.0,624.0,542.0,14.4,295.0,77.3,49.1,2.5,12.4,90200
W,W36X150,150.0,44.3,35.9,12,0.625,0.94,1.69,1.5,9040.0,581.0,504.0,14.3,270.0,70.9,45.1,2.47,10.1,82200
W,W36X135,135.0,39.9,35.6,12,0.6,0.79,1.54,1.5,7800.0,509.0,439.0,14.0,225.0,59.7,37.7,2.38,7,68100
W,W33X387,387.0,114.0,36,16.2,1.26,2.28,3.07,1.8125,24300.0,1560.0,1350.0,14.6,1620.0,312.0,200.0,3.77,148,459000
W,W33X354,354.0,104.0,35.6,16.1,1.16,2.09,2.88,1.8125,22000.0,1420.0,1240.0,14.5,1460.0,282.0,181.0,3.74,115,408000
W,W33X318,318.0,93.7,35.2,16,1.04,1.89,2.68,1.75,19500.0,1270.0,1110.0,14.5,1290.0,250.0,161.0,3.71,84.4,357000
W,W33X291,291.0,85.6,34.8,15.9,0.96,1.73,2.52,1.6875,17700.0,1160.0,1020.0,14.4,1160.0,226.0,146.0,3.68,65.1,319000
W,W33X263,263.0,77.4,34.5,15.8,0.87,1.57,2.36,1.625,15900.0,1040.0,919.0,14.3,1040.0,202.0,131.0,3.66,48.7,281000
W,W33X241,241.0,71.1,34.2,15.9,0.83,1.4,2.19,1.625,14200.0,940.0,831.0,14.1,933.0,182.0,118.0,3.62,36.2,251000
W,W33X221,221.0,65.3,33.9,15.8,0.775,1.28,2.06,1.625,12900.0,857.0,759.0,14.1,840.0,164.0,106.0,3.59,27.8,224000
W,W33X201,201.0,59.1,33.7,15.7,0.715,1.15,1.94,1.5625,11600.0,773.0,686.0,14.0,749.0,147.0,95.2,3.56,20.8,198000
W,W33X169,169.0,49.5,33.8,11.5,0.67,1.22,1.92,1.5625,9290.0,629.0,549.0,13.7,310.0,84.4,53.9,2.5,17.7,82400
W,W33X152,152.0,44.9,33.5,11.6,0.635,1.06,1.76,1.5,8160.0,559.0,487.0,13.5,273.0,73.9,47.2,2.47,12.4,71700
W,W33X141,141.0,41.5,33.3,11.5,0.605,0.96,1.66,1.5,7450.0,514.0,448.0,13.4,246.0,66.9,42.7,2.43,9.7,64400
W,W33X130,130.0,38.3,33.1,11.5,0.58,0.855,1.56,1.5,6710.0,467.0,406.0,13.2,218.0,59.5,37.9,2.39,7.37,56600
W,W33X118,118.0,34.7,32.9,11.5,0.55,0.74,1.44,1.5,5900.0,415.0,359.0,13.0,187.0,51.3,32.6,2.32,5.3,48300
W,W30X391,391.0,115.0,33.2,15.6,1.36,2.44,3.23,1.875,20700.0,1450.0,1250.0,13.4,1550.0,310.0,198.0,3.67,173,366000
W,W30X357,357.0,105.0,32.8,15.5,1.24,2.24,3.03,1.8125,18700.0,1320.0,1140.0,13.3,1390.0,279.0,179.0,3.64,134,324000
W,W30X326,326.0,95.9,32.4,15.4,1.14,2.05,2.84,1.75,16800.0,1190.0,1040.0,13.2,1240.0,252.0,162.0,3.6,103,287000
W,W30X292,292.0,86.0,32,15.3,1.02,1.85,2.64,1.75,14900.0,1060.0,930.0,13.2,1100.0,223.0,144.0,3.58,75.2,250000
W,W30X261,261.0,77.0,31.6,15.2,0.93,1.65,2.44,1.6875,13100.0,943.0,829.0,13.1,959.0,196.0,127.0,3.53,54.1,215000
W,W30X235,235.0,69.3,31.3,15.1,0.83,1.5,2.29,1.625,11700.0,847.0,748.0,13.0,855.0,175.0,114.0,3.51,40.3,190000
W,W30X211,211.0,62.3,30.9,15.1,0.775,1.32,2.1,1.625,10300.0,751.0,665.0,12.9,757.0,155.0,100.0,3.49,28.4,166000
